Lake Shore & Briar (SB),2022-11-27,278,9.111486742424242,41.93892,-87.63806
Laramie & Lake (NB),2022-11-27,278,10.575290404040404,41.8867,-87.7551
Laramie & Madison (SB),2022-11-27,279,9.209210858585859,41.880092,-87.754947
Madison & Loomis (WB),2022-11-27,279,9.047594696969696,41.881625,-87.66205
Madison & Wood (WB),2022-11-27,279,8.994542297979798,41.881471,-87.672189
Nargansett & Montrose (SB),2022-11-27,276,11.066645252227785,41.9592,-87.7868
Northwest Highway & Devon (NWB),2022-11-27,280,9.449905545843047,41.997534,-87.807554
"Polk & L ""Above"" (WB)",2022-11-27,279,9.4740625,41.871645,-87.66986
Pulaski & 49th (SB),2022-11-27,279,12.24358585858586,41.8049,-87.7236
Pulaski & 71st (SB),2022-11-27,279,9.18449494949495,41.76428,-87.722565
Roosevelt & Homan (WB),2022-11-27,279,9.725568181818181,41.866448,-87.710325
Roosevelt & Western (WB),2022-11-27,267,10.411916996047431,41.866741,-87.685757
Sheridan & Hollywood (SB),2022-11-27,280,9.008459353146852,41.985095,-87.655334
Sheridan & Touhy (SB),2022-11-27,279,8.89533143939394,42.013052,-87.663438
South Shore & 77th (NB),2022-11-27,278,8.855521464646465,41.7577,-87.554
State & 31st St (NB),2022-11-27,279,8.888097804972805,41.838137,-87.626522
State & 83rd (NB),2022-11-27,279,10.92778269227105,41.7435,-87.6242
Vincennes & 75th (NB),2022-11-27,280,8.5538226010101,41.75841,-87.63108
Western & 26th ST (SB),2022-11-27,278,10.09448547979798,41.8454,-87.6854
Western & 73rd (NB),2022-11-27,278,10.037279040404039,41.7609,-87.6827
Western Ave & 43rd St (SB),2022-11-27,279,10.524030934343434,41.815867,-87.684764
