msr_device_nbr,date_time,pm_25,device_friendly_name,latitude,longitude,misc_annotation
2117,2022-11-20,9.371698351562625,Device Removed,41.84723,-87.61782,
2119,2022-11-20,7.17502904040404,King Drive & 25th St (SB),41.84723,-87.61782,Stratified Random Sample
2120,2022-11-20,7.01522095959596,Commercial & 85 (NB),41.7414,-87.5513,Stratified Random Sample
2121,2022-11-20,8.255813570487483,Sheridan & Hollywood (SB),41.9851,-87.65533,Stratified Random Sample
2122,2022-11-20,7.036956256134341,Ashland & Blackhawk (NB),41.90724,-87.66745,Stratified Random Sample
2124,2022-11-20,7.001120580808081,Halsted & 87th (SB),41.7359,-87.6437,community-selected
2127,2022-11-20,6.846193181818182,63rd & Lamon (EB),41.7782,-87.7438,Stratified Random Sample
2130,2022-11-20,6.649163510101011,115th & Stewart (EB),41.68518,-87.63263,Stratified Random Sample
2131,2022-11-20,7.77790404040404,Grand & Laramie (EB),41.9169,-87.756,Stratified Random Sample
2138,2022-11-20,6.964365530303031,Kedzie & Lake (NB),41.8838,-87.706,Stratified Random Sample
2139,2022-11-20,6.785415404040404,Garfield & Aberdeen (WB),41.79449,-87.65277,Stratified Random Sample
2142,2022-11-20,6.833869318181819,"Polk & L ""Above"" (WB)",41.87165,-87.66986,Stratified Random Sample
2144,2022-11-20,6.6296148989898995,EPA Village Garage D,41.67099,-87.73246,EPA Co-Location
2149,2022-11-20,6.492017045454546,137th & Brainard (NB),41.6463,-87.54299,Community Selected
2150,2022-11-20,7.370053661616161,Central & Madison (NB),41.8803,-87.7647,Stratified Random Sample
2162,2022-11-20,6.975167297979798,Western & 26th ST (SB),41.8454,-87.6854,Community Selected
2171,2022-11-20,7.200356691919192,63RD STREET & STATE (EB) - 2,41.77999,-87.62511,Community Selected
2172,2022-11-20,7.72676452020202,26th ST & Kostner (WB),41.84419,-87.7347,Community Selected
2174,2022-11-20,9.619308712121212,26th & Keeler (EB),41.8441,-87.72963,Stratified Random Sample
2175,2022-11-20,7.178345959595959,South Shore & 77th (NB),41.7577,-87.554,Stratified Random Sample
2176,2022-11-20,6.883279671717172,Ave O & 114th (NB),41.68805,-87.53997,Community Selected
2177,2022-11-20,6.759135991453824,Vincennes & 75th (NB),41.75841,-87.63108,
2179,2022-11-20,7.65249053030303,Kedzie & 53rd (SB),41.7968,-87.7038,community-selected
2182,2022-11-20,6.575470328282829,63rd & King Drive (EB),41.78,-87.6168,Community Selected
2183,2022-11-20,7.52260101010101,Ashland & Belmont/Lincoln (NB),41.93931,-87.6685,Stratified Random Sample
2185,2022-11-20,7.0436489898989905,Cicero & Hubbard (NB),41.8879,-87.7455,Stratified Random Sample
2191,2022-11-20,6.684011994949494,Belmont & Western (WB),41.93957,-87.6887,Stratified Random Sample
2207,2022-11-20,8.200612373737373,State & 83rd (NB),41.7435,-87.6242,
2212,2022-11-20,6.989037247474748,EPA Springfield Pump Station E,41.91274,-87.72267,EPA Co-Location
2213,2022-11-20,6.8306849747474745,EPA Cicero C,41.85524,-87.75247,EPA Co-Location
