2004,2022-11-14,11.865478617952327,California & 26th (SB),41.8451,-87.6952,Community Selected
2006,2022-11-14,12.304400245430283,California & Cermak (NB),41.8523,-87.6954,Community Selected
2010,2022-11-14,10.053075757575757,EPA Springfield Pump Station C,41.91274,-87.72267,EPA Co-Location
2012,2022-11-14,10.663371212121211,Chicago & Sacramento (EB),41.8954,-87.7022,Partner Request
2013,2022-11-14,9.936283265345766,EPA Village Garage B,41.67099,-87.73246,EPA Co-Location
2014,2022-11-14,9.718419225701835,EPA Village Garage C,41.67099,-87.73246,EPA Co-Location
2033,2022-11-14,11.915641481706698,Halsted & 74th St (SB),41.75951,-87.64438,Stratified Random Sample
2037,2022-11-14,9.996019570707071,39TH & HALSTED (WB),41.82372,-87.64635,Community Selected
2038,2022-11-14,11.368563277000776,ARCHER & THROOP (SB),41.84339,-87.65458,Community Selected
2040,2022-11-14,8.640686674436674,Madison & Wood (WB),41.88147,-87.67219,Stratified Random Sample
2042,2022-11-14,12.737803030303029,26th ST & Pulaski (WB),41.8442,-87.7248,Community Selected
2043,2022-11-14,13.10656857031857,Roosevelt & Homan (WB),41.86645,-87.71032,Stratified Random Sample
2046,2022-11-14,9.9005046113307,Northwest Highway & Devon (NWB),41.99753,-87.80755,Stratified Random Sample
2047,2022-11-14,13.349913870851372,Pulaski & 49th (SB),41.8049,-87.7236,Stratified Random Sample
2048,2022-11-14,7.544902777777778,Cottage Grove & Pershing (SB),41.8241,-87.60712,Stratified Random Sample
2049,2022-11-14,9.188753623188406,Clarendon & Montrose (SB),41.96199,-87.64999,Stratified Random Sample
2050,2022-11-14,10.902013888888888,Laramie & Lake (NB),41.8867,-87.7551,Community Selected
2052,2022-11-14,14.162740141802642,Western Ave & 43rd St (SB),41.81587,-87.68476,Stratified Random Sample
2053,2022-11-14,8.519896580823744,Cottage Grove & 83rd (SB),41.7438,-87.6052,Stratified Random Sample
2054,2022-11-14,15.091271610334111,Ashland & 43rd St (SB),41.81604,-87.66531,Community Selected
2055,2022-11-14,12.50214325529543,Harrison & Central (WB),41.87288,-87.76488,Community Selected
2056,2022-11-14,11.033066495991115,Fullerton & Pulaski (WB),41.92461,-87.72656,Stratified Random Sample
2060,2022-11-14,10.235476641414142,Kimball & Ardmore (SB),41.9861,-87.7139,Stratified Random Sample
2062,2022-11-14,8.625126984126984,Madison & Loomis (WB),41.88162,-87.66205,Stratified Random Sample
2063,2022-11-14,10.208637334887335,Belmont & Sheridan (WB),41.94,-87.6402,Stratified Random Sample
2064,2022-11-14,8.368716491841491,Washington & Garland(Wabash) (EB),41.88314,-87.62563,Stratified Random Sample
2066,2022-11-14,10.507484217171717,Chicago & Hudson (WB),41.89663,-87.63969,Stratified Random Sample
2067,2022-11-14,9.79438446969697,Sheridan & Touhy (SB),42.01305,-87.66344,Stratified Random Sample
2068,2022-11-14,13.732250360750362,63rd & Damen (WB),41.7793,-87.6741,Stratified Random Sample
2070,2022-11-14,11.136739047353156,Nargansett & Montrose (SB),41.9592,-87.7868,Stratified Random Sample
2072,2022-11-14,10.358982057773334,Commercial & 89th (SB),41.73387,-87.55145,Stratified Random Sample
2073,2022-11-14,9.50355668812484,Lake Shore & Briar (SB),41.93892,-87.63806,Stratified Random Sample
2074,2022-11-14,12.703873106060605,Archer & Lavergne/LeClair (NEB),41.79792,-87.74737,Stratified Random Sample
2076,2022-11-14,10.652237484737483,Cottage & 53rd (NB),41.7985,-87.6062,Stratified Random Sample
2081,2022-11-14,12.036049935986297,Western & 73rd (NB),41.7609,-87.6827,Stratified Random Sample
2082,2022-11-14,9.752433712121212,95th & Wentworth (WB),41.7218,-87.6287,Stratified Random Sample
2084,2022-11-14,12.544579836829836,63rd & Pulaski (EB),41.7785,-87.7214,Stratified Random Sample
2087,2022-11-14,14.23000482093664,Pulaski & 71st (SB),41.76428,-87.72257,Stratified Random Sample
2090,2022-11-14,12.517068511198945,Archer & Mulligan/55th (NWB),41.7924,-87.7818,Stratified Random Sample
2091,2022-11-14,11.198374368686869,39th & Damen (WB),41.8231,-87.6753,Community Selected
2092,2022-11-14,10.014561237373737,61st & King (WB),41.7838,-87.6164,Stratified Random Sample
2093,2022-11-14,11.176760869565216,Central & Prescott (SB),41.9924,-87.7654,Stratified Random Sample
2096,2022-11-14,10.941208964646464,100th & Torrence (WB),41.7136,-87.5602,Community Selected
2097,2022-11-14,9.941542768825377,Cottage Grove & 100th (NB),41.7132,-87.605,Stratified Random Sample
2098,2022-11-14,10.67260029532531,Irving & Clark (EB),41.95429,-87.66244,Partner Request
2099,2022-11-14,13.528693181818182,26th & Central Park (WB),41.84449,-87.71456,Stratified Random Sample
2100,2022-11-14,13.267947330447331,Ashland & Pershing (SB),41.82359,-87.66524,Community Selected
2101,2022-11-14,10.225795494221677,Laramie & Madison (SB),41.88009,-87.75495,Community Selected
2103,2022-11-14,8.494177599471024,79th & Kostner (EB),41.7491,-87.7302,Stratified Random Sample
2104,2022-11-14,10.874137251637253,State & 31st St (NB),41.83814,-87.62652,Stratified Random Sample
2105,2022-11-14,12.132847222222223,Cottage Grove & 60th (SB),41.78595,-87.60616,Stratified Random Sample
2106,2022-11-14,12.723645833333334,Addison & Kennedy XWay (EB),41.94641,-87.7179,Stratified Random Sample
2107,2022-11-14,11.82708648989899,Central Park & Ogden (NB),41.85429,-87.71498,Stratified Random Sample
2108,2022-11-14,11.0223344017094,Irving Park & Kildare (EB),41.9533,-87.7354,Stratified Random Sample
2111,2022-11-14,12.93144521166936,Kedzie & 24th (SB),41.8488,-87.7052,Community Selected
2112,2022-11-14,13.907089646464646,47th & Halsted (WB),41.8088,-87.6481,Partner Request
2113,2022-11-14,10.066353358051993,Division & Larrabee (EB),41.90363,-87.64344,Stratified Random Sample
2115,2022-11-14,14.91595041322314,Roosevelt & Western (WB),41.86674,-87.68576,Stratified Random Sample
2116,2022-11-14,10.603166408297993,Clark & 15th (NB),41.86177,-87.63014,Stratified Random Sample
2117,2022-11-14,8.742367243867244,Device Removed,41.84723,-87.61782,
2119,2022-11-14,10.894662247474749,King Drive & 25th St (SB),41.84723,-87.61782,Stratified Random Sample
2120,2022-11-14,9.302624657950744,Commercial & 85 (NB),41.7414,-87.5513,Stratified Random Sample
2121,2022-11-14,10.236461489898991,Sheridan & Hollywood (SB),41.9851,-87.65533,Stratified Random Sample
2122,2022-11-14,9.866521576441299,Ashland & Blackhawk (NB),41.90724,-87.66745,Stratified Random Sample
2124,2022-11-14,10.886097402597402,Halsted & 87th (SB),41.7359,-87.6437,community-selected
2127,2022-11-14,12.065795454545453,63rd & Lamon (EB),41.7782,-87.7438,Stratified Random Sample
2130,2022-11-14,10.647642045454546,115th & Stewart (EB),41.68518,-87.63263,Stratified Random Sample
2131,2022-11-14,10.799821475625823,Grand & Laramie (EB),41.9169,-87.756,Stratified Random Sample
2138,2022-11-14,12.216873855590821,Kedzie & Lake (NB),41.8838,-87.706,Stratified Random Sample
2139,2022-11-14,12.639592803030302,Garfield & Aberdeen (WB),41.79449,-87.65277,Stratified Random Sample
2142,2022-11-14,10.709082972582973,"Polk & L ""Above"" (WB)",41.87165,-87.66986,Stratified Random Sample
2143,2022-11-14,12.818211233211233,87th & Western (WB),41.73566,-87.68225,Stratified Random Sample
2144,2022-11-14,10.200915977961431,EPA Village Garage D,41.67099,-87.73246,EPA Co-Location
2149,2022-11-14,9.401260021840683,137th & Brainard (NB),41.6463,-87.54299,Community Selected
2150,2022-11-14,11.0967060994561,Central & Madison (NB),41.8803,-87.7647,Stratified Random Sample
2162,2022-11-14,12.965596590909092,Western & 26th ST (SB),41.8454,-87.6854,Community Selected
2171,2022-11-14,12.912863005050504,63RD STREET & STATE (EB) - 2,41.77999,-87.62511,Community Selected
2172,2022-11-14,12.92237812911726,26th ST & Kostner (WB),41.84419,-87.7347,Community Selected
2174,2022-11-14,13.954078282828283,26th & Keeler (EB),41.8441,-87.72963,Stratified Random Sample
2175,2022-11-14,11.17578720968568,South Shore & 77th (NB),41.7577,-87.554,Stratified Random Sample
2176,2022-11-14,8.098154567654568,Ave O & 114th (NB),41.68805,-87.53997,Community Selected
2177,2022-11-14,11.184571805006588,Vincennes & 75th (NB),41.75841,-87.63108,
2179,2022-11-14,13.18873106060606,Kedzie & 53rd (SB),41.7968,-87.7038,community-selected
2182,2022-11-14,9.819712752525254,63rd & King Drive (EB),41.78,-87.6168,Community Selected
2183,2022-11-14,11.606887375953221,Ashland & Belmont/Lincoln (NB),41.93931,-87.6685,Stratified Random Sample
2185,2022-11-14,10.955498737373738,Cicero & Hubbard (NB),41.8879,-87.7455,Stratified Random Sample
2191,2022-11-14,9.7887055842708,Belmont & Western (WB),41.93957,-87.6887,Stratified Random Sample
2207,2022-11-14,11.4815625,State & 83rd (NB),41.7435,-87.6242,
2212,2022-11-14,11.157133838383837,EPA Springfield Pump Station E,41.91274,-87.72267,EPA Co-Location
2213,2022-11-14,10.575635780885781,EPA Cicero C,41.85524,-87.75247,EPA Co-Location
2004,2022-11-15,15.0490625,California & 26th (SB),41.8451,-87.6952,Community Selected
2006,2022-11-15,15.73939393939394,California & Cermak (NB),41.8523,-87.6954,Community Selected
2010,2022-11-15,12.008260975135975,EPA Springfield Pump Station C,41.91274,-87.72267,EPA Co-Location
2012,2022-11-15,12.777184343434344,Chicago & Sacramento (EB),41.8954,-87.7022,Partner Request
2013,2022-11-15,14.589782196969699,EPA Village Garage B,41.67099,-87.73246,EPA Co-Location
2014,2022-11-15,13.476401515151515,EPA Village Garage C,41.67099,-87.73246,EPA Co-Location
2033,2022-11-15,15.96144255050505,Halsted & 74th St (SB),41.75951,-87.64438,Stratified Random Sample
2037,2022-11-15,12.427606837606838,39TH & HALSTED (WB),41.82372,-87.64635,Community Selected
2038,2022-11-15,14.351404671717171,ARCHER & THROOP (SB),41.84339,-87.65458,Community Selected
2040,2022-11-15,11.650716054778554,Madison & Wood (WB),41.88147,-87.67219,Stratified Random Sample
2042,2022-11-15,14.767780934343435,26th ST & Pulaski (WB),41.8442,-87.7248,Community Selected
2043,2022-11-15,15.044053030303031,Roosevelt & Homan (WB),41.86645,-87.71032,Stratified Random Sample
2046,2022-11-15,10.91759815546772,Northwest Highway & Devon (NWB),41.99753,-87.80755,Stratified Random Sample
2047,2022-11-15,15.016278409090908,Pulaski & 49th (SB),41.8049,-87.7236,Stratified Random Sample
2048,2022-11-15,9.237996212121212,Cottage Grove & Pershing (SB),41.8241,-87.60712,Stratified Random Sample
2049,2022-11-15,10.232474747474749,Clarendon & Montrose (SB),41.96199,-87.64999,Stratified Random Sample
2050,2022-11-15,14.143303467365968,Laramie & Lake (NB),41.8867,-87.7551,Community Selected
2052,2022-11-15,14.758491161616163,Western Ave & 43rd St (SB),41.81587,-87.68476,Stratified Random Sample
2053,2022-11-15,11.13068244949495,Cottage Grove & 83rd (SB),41.7438,-87.6052,Stratified Random Sample
2054,2022-11-15,17.210171277997365,Ashland & 43rd St (SB),41.81604,-87.66531,Community Selected
2055,2022-11-15,14.78689393939394,Harrison & Central (WB),41.87288,-87.76488,Community Selected
2056,2022-11-15,12.625097853535353,Fullerton & Pulaski (WB),41.92461,-87.72656,Stratified Random Sample
2060,2022-11-15,11.062830468142968,Kimball & Ardmore (SB),41.9861,-87.7139,Stratified Random Sample
2062,2022-11-15,12.341395687645687,Madison & Loomis (WB),41.88162,-87.66205,Stratified Random Sample
2063,2022-11-15,11.760167297979798,Belmont & Sheridan (WB),41.94,-87.6402,Stratified Random Sample
2064,2022-11-15,10.781335725677831,Washington & Garland(Wabash) (EB),41.88314,-87.62563,Stratified Random Sample
2066,2022-11-15,12.898443813131314,Chicago & Hudson (WB),41.89663,-87.63969,Stratified Random Sample
2067,2022-11-15,11.362468677156178,Sheridan & Touhy (SB),42.01305,-87.66344,Stratified Random Sample
2068,2022-11-15,14.068270202020202,63rd & Damen (WB),41.7793,-87.6741,Stratified Random Sample
2070,2022-11-15,13.26460144927536,Nargansett & Montrose (SB),41.9592,-87.7868,Stratified Random Sample
2072,2022-11-15,13.524299242424242,Commercial & 89th (SB),41.73387,-87.55145,Stratified Random Sample
2073,2022-11-15,11.214687499999998,Lake Shore & Briar (SB),41.93892,-87.63806,Stratified Random Sample
2074,2022-11-15,15.082013888888888,Archer & Lavergne/LeClair (NEB),41.79792,-87.74737,Stratified Random Sample
2076,2022-11-15,12.522196969696969,Cottage & 53rd (NB),41.7985,-87.6062,Stratified Random Sample
2081,2022-11-15,15.812088274044797,Western & 73rd (NB),41.7609,-87.6827,Stratified Random Sample
2082,2022-11-15,13.743311237373737,95th & Wentworth (WB),41.7218,-87.6287,Stratified Random Sample
2084,2022-11-15,14.800378787878786,63rd & Pulaski (EB),41.7785,-87.7214,Stratified Random Sample
2087,2022-11-15,14.433544823232324,Pulaski & 71st (SB),41.76428,-87.72257,Stratified Random Sample
2090,2022-11-15,14.320017142579642,Archer & Mulligan/55th (NWB),41.7924,-87.7818,Stratified Random Sample
