msr_device_nbr,date_time,pm_25,device_friendly_name,latitude,longitude,misc_annotation
2150,2022-11-06,9.12287366417801,Central & Madison (NB),41.8803,-87.7647,Stratified Random Sample
2162,2022-11-06,6.954311868686869,Western & 26th ST (SB),41.8454,-87.6854,Community Selected
2171,2022-11-06,8.338897672375934,63RD STREET & STATE (EB) - 2,41.77999,-87.62511,Community Selected
2172,2022-11-06,8.556361531986532,26th ST & Kostner (WB),41.84419,-87.7347,Community Selected
2174,2022-11-06,9.591962560386474,26th & Keeler (EB),41.8441,-87.72963,Stratified Random Sample
2175,2022-11-06,6.55214436026936,South Shore & 77th (NB),41.7577,-87.554,Stratified Random Sample
2176,2022-11-06,6.304585712194408,Ave O & 114th (NB),41.68805,-87.53997,Community Selected
2177,2022-11-06,6.7994065656565645,Vincennes & 75th (NB),41.75841,-87.63108,
2179,2022-11-06,7.760506732054432,Kedzie & 53rd (SB),41.7968,-87.7038,community-selected
2182,2022-11-06,6.507053872053872,63rd & King Drive (EB),41.78,-87.6168,Community Selected
2183,2022-11-06,6.8580833699311965,Ashland & Belmont/Lincoln (NB),41.93931,-87.6685,Stratified Random Sample
2185,2022-11-06,7.263453923290879,Cicero & Hubbard (NB),41.8879,-87.7455,Stratified Random Sample
2191,2022-11-06,6.299589188991363,Belmont & Western (WB),41.93957,-87.6887,Stratified Random Sample
2207,2022-11-06,8.194617003367004,State & 83rd (NB),41.7435,-87.6242,
2212,2022-11-06,6.634808044210218,EPA Springfield Pump Station E,41.91274,-87.72267,EPA Co-Location
