device_id,date,pm_25
2135,2022-05-01,6.81448547979798
2135,2022-05-02,8.35907196969697
2135,2022-05-03,9.20786300505051
2135,2022-05-04,5.46641098484849
2135,2022-05-05,7.79974431818182
2135,2022-05-06,7.21696338383838
2135,2022-05-07,6.49698232323232
2135,2022-05-08,7.73870580808081
2135,2022-05-09,8.14988636363636
2135,2022-05-10,13.1957733585859
2135,2022-05-11,16.831553030303
2135,2022-05-12,11.7192329545455
2135,2022-05-13,8.04609217171717
2135,2022-05-14,11.1823579545455
2135,2022-05-15,9.04804608585859
2135,2022-05-16,8.21150568181818
2135,2022-05-17,6.18204608585859
2135,2022-05-18,9.23313446969697
2135,2022-05-19,13.1449431818182
2135,2022-05-20,10.1035637626263
2135,2022-05-21,7.59998106060606
2135,2022-05-22,7.38900883838384
2135,2022-05-23,6.19770202020202
2135,2022-05-24,7.98070075757576
2135,2022-05-25,8.85864583333333
2135,2022-05-26,7.77337752525253
2135,2022-05-27,5.78566287878788
2135,2022-05-28,10.8674526515152
2135,2022-05-29,8.54442866161616
2135,2022-05-30,9.95428977272727
2135,2022-05-31,10.5842613636364
2135,2022-06-01,7.64211174242424
2135,2022-06-02,9.82593434343434
2135,2022-06-03,8.06412184343434
2135,2022-06-04,7.47317866161616
2135,2022-06-05,7.4856029040404
2135,2022-06-06,12.4724147727273
2135,2022-06-07,5.99892676767677
2135,2022-06-08,8.30892992424242
2135,2022-06-09,9.47169823232323
2135,2022-06-10,9.63373106060606
2135,2022-06-11,11.8157638888889
2135,2022-06-12,8.88982954545455
2135,2022-06-13,9.49460858585859
2135,2022-06-14,14.0884506974507
2135,2022-06-15,13.0946559343434
2135,2022-06-16,8.69326073232323
2135,2022-06-17,8.07664457070707
2135,2022-06-18,6.00531881313131
2135,2022-06-19,7.53112689393939
2135,2022-06-20,8.49596275252525
2135,2022-06-21,12.3651152832675
2135,2022-06-22,7.26816287878788
2135,2022-06-23,7.701875
2135,2022-06-24,10.9486837121212
2135,2022-06-25,9.75173295454545
2135,2022-06-26,8.35811237373737
2135,2022-06-27,7.71247474747475
2135,2022-06-28,10.547711489899
2135,2022-06-29,11.435091540404
2135,2022-06-30,9.46952651515152
2135,2022-07-01,10.2419444444444
2135,2022-07-02,14.2799021464646
2135,2022-07-03,13.5095391414141
2135,2022-07-04,13.5236332070707
2135,2022-07-05,9.91175820707071
2135,2022-07-06,8.19864898989899
2135,2022-07-07,10.9082859848485
2135,2022-07-08,10.6394191919192
2135,2022-07-09,6.84084911616162
2135,2022-07-10,8.83906565656566
2135,2022-07-11,9.10378458498024
2135,2022-07-12,8.35157196969697
2135,2022-07-13,8.68611111111111
2135,2022-07-14,8.4048327020202
2135,2022-07-15,14.9470902203857
2135,2022-07-18,13.5676287878788
2135,2022-07-19,15.6568906455863
2135,2022-07-26,19.8908682058682
2135,2022-07-27,23.712702020202
2135,2022-07-29,23.2062595959596
2135,2022-07-30,20.8154318181818
2135,2022-08-07,23.0821196172249
2135,2022-08-09,20.1760878031357
2135,2022-08-10,20.1169199134199
2135,2022-08-11,18.7979814049587
2135,2022-08-12,24.9752066004171
2135,2022-08-14,23.8722727272727
2135,2022-08-15,22.538821969697
2135,2022-08-16,21.1122977272727
2135,2022-08-17,20.1833772727273
2135,2022-08-18,20.6196161616162
2135,2022-08-20,24.6360174242424
2135,2022-08-22,20.5296123737374
2135,2022-08-23,20.4917866161616
2135,2022-08-26,20.0208972222222
2135,2022-08-27,22.3847417355372
2135,2022-08-28,21.701822169059
2135,2022-08-30,19.2394329004329
2135,2022-08-31,20.266988292011
2135,2022-09-01,20.6788571428571
2135,2022-09-02,21.2758304473304
2135,2022-09-03,20.9811955922865
2135,2022-09-04,21.4788371212121
2135,2022-09-05,22.3345549242424
2135,2022-09-06,23.5919005847953
2135,2022-09-07,20.0669271284271
2135,2022-09-08,22.7116976584022
2135,2022-09-09,19.5614734848485
2135,2022-09-10,24.6318620414673
2135,2022-09-11,23.2762720959596
2135,2022-09-12,23.2576073781291
2135,2022-09-13,23.4647705627706
2135,2022-09-15,20.6021233766234
2135,2022-09-16,22.5046221741222
2135,2022-09-17,23.3928164141414
2135,2022-09-18,22.4132040863177
2135,2022-09-19,21.2176154401154
2135,2022-09-22,10.120021969697
2135,2022-09-23,13.4892965367965
2135,2022-09-24,12.1012635882636
2135,2022-09-25,14.2072601010101
2135,2022-09-26,11.4911382876383
2135,2022-09-27,35.321076446281
2135,2022-09-28,18.8878666666667
2135,2022-09-29,41.6152462722463
